key,en,ja,zh,notes
about,About,このアプリについて,关于,
addCategory,Add category,カテゴリを追加,添加分类,
addPhoto,Add photo,写真を追加,添加照片,
addSubcategory,Add,追加,添加,
addTransaction,Add Transaction,取引を追加,添加账目,
allDataDeleted,All data deleted,全データを削除しました,所有数据已删除,
amount,Amount,金額,金额,
amountMustBeGreaterThanZero,Amount must be greater than zero,金額は0より大きくしてください,金额必须大于零,
analytics,Analytics,分析,分析,
appName,Home Pocket,まもる家計簿,守护家计簿,
appearance,Appearance,外観,外观,
back,Back,戻る,返回,
backupExportedSuccessfully,Backup exported successfully,バックアップをエクスポートしました,备份导出成功,
backupImportedSuccessfully,Backup imported successfully,バックアップをインポートしました,备份导入成功,
biometricLock,Biometric Lock,生体認証ロック,生物识别锁,
biometricLockDescription,Use Face ID / fingerprint to unlock,Face ID / 指紋認証でロック解除,使用面容/指纹解锁,
cancel,Cancel,キャンセル,取消,
category,Category,カテゴリ,分类,
categoryEducation,Education,教育,教育,
categoryEntertainment,Entertainment,娯楽,娱乐,
categoryFood,Food,食費,餐饮,
categoryHealth,Health,医療,医疗,
categoryHousing,Housing,住居,住房,
categoryOther,Other,その他,其他,
categoryShopping,Shopping,買物,购物,
categoryTransport,Transport,交通,交通,
categoryUtilities,Utilities,光熱費,水电费,
confirm,Confirm,確認,确认,
confirmDelete,Confirm Delete,削除の確認,确认删除,
confirmPassword,Confirm password,パスワードを確認,确认密码,
dataManagement,Data Management,データ管理,数据管理,
date,Date,日付,日期,
daysAgo,{count} days ago,{count}日前,{count}天前,
delete,Delete,削除,删除,
deleteAllData,Delete All Data,全データを削除,删除所有数据,
deleteAllDataConfirmation,This action cannot be undone. Are you sure you want to delete all data?,この操作は取り消せません。すべてのデータを削除してもよろしいですか？,此操作无法撤销。您确定要删除所有数据吗？,
deleteAllDataDescription,Permanently delete all records,すべての記録を完全に削除,永久删除所有记录,
deleteFailed,Delete failed,削除に失敗しました,删除失败,
deleteTransactionConfirmation,Delete this transaction?,この取引を削除しますか？,删除此交易？,
demoDataGenerated,Demo data generated! Pull to refresh.,デモデータを生成しました！引っ張って更新してください。,演示数据已生成！下拉刷新查看。,
edit,Edit,編集,编辑,
enterBackupPassword,Enter Backup Password,バックアップパスワードを入力,输入备份密码,
enterMemo,Enter memo...,メモを入力...,输入备注...,
enterPassword,Enter password,パスワードを入力,输入密码,
enterStore,Enter store,お店を入力,输入店铺,
error,Error,エラー,错误,
errorBiometric,Biometric error,生体認証エラー,生物识别错误,
errorDatabaseRead,Database read error,データベース読取エラー,数据库读取错误,
errorDatabaseWrite,Database write error,データベース書込エラー,数据库写入错误,
errorEncryption,Encryption error,暗号化エラー,加密错误,
errorInvalidAmount,Invalid amount,無効な金額です,无效金额,
errorInvalidDate,Invalid date,無効な日付です,无效日期,
errorMaxAmount,Please enter an amount no greater than {max},{max}以下の金額を入力してください,请输入不超过{max}的金额,
errorMinAmount,Please enter an amount of at least {min},{min}以上の金額を入力してください,请输入至少{min}的金额,
errorNetwork,Network error,ネットワークエラー,网络错误,
errorPermission,Permission error,権限エラー,权限错误,
errorRequired,This field is required,必須項目です,必填项,
errorSync,Sync error,同期エラー,同步错误,
errorUnknown,An unknown error occurred,不明なエラーが発生しました,发生未知错误,
expenseClassification,Expense Type,支出分類,支出分类,
expenseDetail,Expense Detail,支出の詳細,支出详情,
exportBackup,Export Backup,バックアップをエクスポート,导出备份,
exportBackupDescription,Create encrypted backup file,暗号化バックアップファイルを作成,创建加密备份文件,
exportFailed,Export failed,エクスポートに失敗しました,导出失败,
failedToSave,Failed to save,保存に失敗しました,保存失败,
familySync,Family Sync,ファミリー同期,家庭同步,
familySyncApprovalTip,Approving this request will sync the device and data with encryption enabled.,承認すると、このデバイスとデータが暗号化して同期されます。,批准后，这台设备与相关数据将以加密方式同步。,
familySyncApprovalTitle,Member Approval,メンバー承認,成员审批,
familySyncApprove,Approve,承認する,批准,
familySyncBadgeError,Error,エラー,错误,
familySyncBadgeOffline,Offline,オフライン,离线,
familySyncBadgePairing,Setup,設定中,设置中,
familySyncBadgeSynced,Synced,同期済み,已同步,
familySyncBadgeSyncing,Syncing,同期中,同步中,
familySyncBadgeUnpaired,Unpaired,未ペアリング,未配对,
familySyncBookId,Book ID,帳簿ID,账本ID,
familySyncCheckFailed,Could not check group status: {message},グループ状況を確認できません: {message},无法检查群组状态: {message},
familySyncCheckingGroup,Checking group status...,グループ状況を確認中...,正在检查群组状态...,
familySyncCodeExpired,Code expired,コードの有効期限が切れました,配对码已过期,
familySyncCreatingGroup,Creating group...,グループを作成しています...,正在创建分组...,
familySyncCurrentMembers,Current Members,現在のメンバー,当前成员,
familySyncDeactivateGroup,Deactivate Group,グループを無効化,停用分组,
familySyncDeactivateGroupConfirm,Deactivate this family group for everyone? Sync will stop for all members until a new group is created.,このファミリーグループを全員に対して無効化しますか？新しいグループを作成するまで同期は停止します。,确定要为所有成员停用这个家庭分组吗？在创建新分组前，同步将全部停止。,
familySyncDeactivateGroupFailed,Deactivate group failed: {message},グループ無効化に失敗: {message},停用分组失败: {message},
familySyncDissolveGroup,Dissolve Group,グループを解散,解散分组,
familySyncEnterDigitCode,Enter 6-digit invite code,6桁の招待コードを入力,输入6位邀请码,
familySyncEnterPartnerCode,Join Group,グループに参加,加入分组,
familySyncExpiryLabel,Expires: {time},有効期限: {time},有效期: {time},
familySyncGroupLabel,Group,グループ,分组,
familySyncGroupManagement,Group Management,グループ管理,分组管理,
familySyncJoinDescription,Enter the 6-digit invite code you received from a family member.,家族から受け取った6桁の招待コードを入力してください,请输入从家人那里收到的 6 位邀请码,
familySyncJoinGroup,Join Group,グループに参加,加入分组,
familySyncJoinRequestNotificationBody,A family member wants to join your group. Review the request to continue.,家族メンバーがグループ参加を希望しています。続行するにはリクエストを確認してください。,有家庭成员想加入你的分组。请查看请求后继续。,
familySyncJoinRequestWithName,{deviceName} wants to join your family ledger,{deviceName} があなたの家計簿に参加したいです,{deviceName} 想要加入你的家庭账本,
familySyncJoinSuccess,Joined the group. Waiting for owner confirmation...,グループに参加しました。オーナーの承認を待っています...,已加入分组，正在等待所有者确认...,
familySyncJoinTitle,Join Family,家族に参加する,加入家庭,
familySyncJustNow,Requested just now,たった今リクエスト,刚刚发出请求,
familySyncLastSync,Last Sync,最終同期,上次同步,
